name
student-read
student-write
personal-data-read
personal-data-write
family-read
family-write
residence-read
residence-write
previous-school-read
previous-school-write
bank-account-read
bank-account-write
bank-account-delete
registration-fee-read
registration-fee-write
registration-fee-delete
