name
admin-read
admin-write
admin-delete
role-read
role-write
application-read
application-write
menu-read
menu-write
menu-delete
user-read
user-write
user-delete
application-delete
educational-level-read
educational-level-write
educational-level-delete
permission-read
permission-write
permission-delete
role-delete
educational-institution-read
educational-institution-write
educational-institution-delete
whatsapp-config-read
whatsapp-config-write
email-config-read
email-config-write
message-template-read
message-template-write
message-template-delete
school-year-read
school-year-write
